# IMPERIAL RUSSIAN COURT COSTUME DATABASE (1905)
# This notecard provides historically accurate costume recommendations
# Format: GENDER|RANK|OCCASION|SEASON|DESCRIPTION

# MEN'S COURT UNIFORMS
MALE|IMPERIAL|ANY|ANY|The Tsar may wear the Cap of Monomakh or the Imperial Crown for the most formal state occasions. He carries a staff of office for certain ceremonies. The Collar of the Order of St. Andrew is worn for all state occasions.

FEMALE|IMPERIAL|ANY|ANY|The Tsarina wears the small imperial crown for formal occasions. Her jewels always include the imperial diamonds and the pearl parure. She carries a fan of exotic feathers for balls and receptions.

MALE|PRINCE|ANY|ANY|Princes carry dress swords with jeweled hilts appropriate to their rank. Their gloves must be white kid leather for formal occasions. Pocket watches on gold chains are displayed.

FEMALE|PRINCESS|ANY|ANY|Princesses carry fans of ivory or mother-of-pearl with gold sticks. Their gloves extend above the elbow for formal occasions. Ceremonial orders are worn on silk ribbons across the bodice.

# SPECIFIC MILITARY UNIFORMS
MALE|PREOBRAZHENSKY|MILITARY|ANY|The elite Preobrazhensky Regiment wears dark green uniforms with red facings, gold buttons with the imperial eagle, and tall bearskin grenadier hats for parade.

MALE|COSSACK|MILITARY|ANY|Don Cossack officers wear their distinctive uniform with cherkesska (collarless coat), gazyrnitsa (cartridge holders) across the chest, and papakha (fur hat). Shashka (sabers) are worn as part of the uniform.

MALE|HUSSAR|MILITARY|ANY|Hussar officers wear the dolman jacket with extensive braiding and a pelisse hung from the left shoulder. Their shakos have plumes appropriate to their regiment. Tight riding breeches and high boots complete the ensemble.

MALE|GUARD_CAVALRY|MILITARY|ANY|The Chevalier Guard wears white tunics with gold cuirasses (breastplates) for parade. Their helmets feature the imperial eagle and horsehair plumes. They carry straight-bladed pallasch swords.

# REGIONAL VARIATIONS
MALE|ANY|CAUCASIAN|ANY|Noblemen from the Caucasus regions may wear traditional cherkesska coats with gazyrnitsa and kindjal daggers, even at court, as a recognized exception to standard court dress regulations.

FEMALE|ANY|TRADITIONAL|ANY|Some ladies from noble Russian families may incorporate elements of traditional sarafan (pinafore dress) and kokoshnik styles, particularly for national celebrations or when emphasizing Slavophile political leanings.

MALE|FOREIGN_DIGNITARY|FORMAL|ANY|Foreign dignitaries may wear their national court dress if from a recognized royal court. Others must conform to Russian court uniform regulations or wear diplomatic uniform if applicable.

# END OF DATABASE
